X	Y	Z	INT_TOP
-20.8275	5.48851	7.97953	3.10059
-20.8275	5.49849	7.97894	2.85645
-20.8275	5.50849	7.97817	2.14844
-20.8275	5.51849	7.97785	2.53906
-20.8275	5.52849	7.97792	2.49023
-20.8275	5.53849	7.97831	2.56348
-20.8275	5.54846	7.97894	3.05176
-20.8275	5.55844	7.97844	2.44141
-20.8275	5.56844	7.97886	2.80762
-20.8275	5.57844	7.97843	2.51465
-20.8276	5.58844	7.97803	2.05078
-20.8276	5.59844	7.9773	2.44141
-20.8277	5.60844	7.97742	1.85547
-20.8277	5.61841	7.97718	1.36719
-20.8278	5.62839	7.97761	2.09961
-20.8278	5.63836	7.97845	2.27051
-20.8278	5.64836	7.97855	1.24512
-20.8278	5.65839	7.9778	1.68457
-20.8278	5.66839	7.97733	2.27051
-20.8278	5.67841	7.97754	2.80762
-20.8278	5.68844	7.97746	2.53906
-20.8277	5.69844	7.97727	2.53906
-20.8277	5.70846	7.97687	2.09961
-20.8277	5.71849	7.97711	2.49023
-20.8276	5.72849	7.97633	2.44141
-20.8276	5.73849	7.97566	2.39258
-20.8276	5.74849	7.97619	2.44141
-20.8276	5.75846	7.97586	2.17285
-20.8276	5.76846	7.97576	2.49023
-20.8276	5.77849	7.97573	2.22168
-20.8276	5.78851	7.97547	2.70996
-20.8276	5.79854	7.97564	2.73438
-20.8276	5.80854	7.97554	2.53906
-20.8276	5.81851	7.97526	2.17285
-20.8276	5.82849	7.97518	2.09961
-20.8276	5.83849	7.97503	2.09961
-20.8277	5.84851	7.97502	1.95313
-20.8277	5.85854	7.97455	1.95313
-20.8277	5.86859	7.9773	0.463867
-20.8277	5.87866	7.97464	0.366211
-20.8277	5.88871	7.98239	0.463867
-20.8277	5.89874	7.98375	0.830078
-20.8277	5.90874	7.98649	6.29883
-20.8277	5.91871	7.98653	4.61426
-20.8277	5.92871	8.23821	0
-20.8277	5.93871	7.97717	0.341797
-20.8277	5.94869	7.97794	0.537109
-20.8276	5.95869	7.98001	0.805664
-20.8276	5.96869	7.98148	0.390625
-20.8276	5.97866	7.98581	1.68457
-20.8276	5.98864	7.97389	0.390625
-20.8276	5.99861	7.97491	0.830078
-20.8275	6.00859	7.97526	1.12305
-20.8275	6.01859	7.974	1.58691
-20.8275	6.02856	7.97355	2.63672
